Epoch Number, Total Squared Error, 
0, 1.199574, 
1, 1.167842, 
2, 1.140802, 
3, 1.118397, 
4, 1.100283, 
5, 1.085938, 
6, 1.074767, 
7, 1.066186, 
8, 1.059664, 
9, 1.054747, 
10, 1.051064, 
11, 1.048319, 
12, 1.046279, 
13, 1.044769, 
14, 1.043653, 
15, 1.042831, 
16, 1.042225, 
17, 1.041779, 
18, 1.041452, 
19, 1.041213, 
20, 1.041038, 
21, 1.040910, 
22, 1.040817, 
23, 1.040750, 
24, 1.040701, 
25, 1.040667, 
26, 1.040642, 
27, 1.040626, 
28, 1.040614, 
29, 1.040607, 
30, 1.040602, 
31, 1.040600, 
32, 1.040599, 
33, 1.040599, 
34, 1.040600, 
35, 1.040602, 
36, 1.040604, 
37, 1.040607, 
38, 1.040610, 
39, 1.040613, 
40, 1.040616, 
41, 1.040619, 
42, 1.040622, 
43, 1.040625, 
44, 1.040628, 
45, 1.040632, 
46, 1.040635, 
47, 1.040638, 
48, 1.040642, 
49, 1.040645, 
50, 1.040648, 
51, 1.040652, 
52, 1.040655, 
53, 1.040658, 
54, 1.040662, 
55, 1.040665, 
56, 1.040668, 
57, 1.040672, 
58, 1.040675, 
59, 1.040679, 
60, 1.040682, 
61, 1.040685, 
62, 1.040689, 
63, 1.040692, 
64, 1.040696, 
65, 1.040699, 
66, 1.040702, 
67, 1.040706, 
68, 1.040709, 
69, 1.040713, 
70, 1.040716, 
71, 1.040719, 
72, 1.040723, 
73, 1.040726, 
74, 1.040730, 
75, 1.040733, 
76, 1.040737, 
77, 1.040740, 
78, 1.040743, 
79, 1.040747, 
80, 1.040750, 
81, 1.040754, 
82, 1.040757, 
83, 1.040761, 
84, 1.040764, 
85, 1.040768, 
86, 1.040771, 
87, 1.040775, 
88, 1.040778, 
89, 1.040782, 
90, 1.040785, 
91, 1.040789, 
92, 1.040792, 
93, 1.040796, 
94, 1.040799, 
95, 1.040803, 
96, 1.040806, 
97, 1.040810, 
98, 1.040813, 
99, 1.040817, 
100, 1.040820, 
101, 1.040824, 
102, 1.040827, 
103, 1.040831, 
104, 1.040834, 
105, 1.040838, 
106, 1.040842, 
107, 1.040845, 
108, 1.040849, 
109, 1.040852, 
110, 1.040856, 
111, 1.040859, 
112, 1.040863, 
113, 1.040867, 
114, 1.040870, 
115, 1.040874, 
116, 1.040877, 
117, 1.040881, 
118, 1.040885, 
119, 1.040888, 
120, 1.040892, 
121, 1.040895, 
122, 1.040899, 
123, 1.040903, 
124, 1.040906, 
125, 1.040910, 
126, 1.040914, 
127, 1.040917, 
128, 1.040921, 
129, 1.040925, 
130, 1.040928, 
