Epoch Number, Total Squared Error, 
0, 4.567159, 
1, 4.547184, 
2, 4.539423, 
3, 4.536652, 
4, 4.535796, 
5, 4.535619, 
6, 4.535654, 
7, 4.535741, 
8, 4.535840, 
9, 4.535949, 
10, 4.536076, 
11, 4.536230, 
12, 4.536418, 
13, 4.536643, 
14, 4.536906, 
15, 4.537207, 
16, 4.537544, 
17, 4.537914, 
18, 4.538313, 
19, 4.538738, 
20, 4.539185, 
21, 4.539650, 
22, 4.540127, 
23, 4.540611, 
24, 4.541099, 
25, 4.541584, 
26, 4.542062, 
27, 4.542525, 
28, 4.542969, 
29, 4.543386, 
30, 4.543769, 
31, 4.544110, 
32, 4.544402, 
33, 4.544635, 
34, 4.544801, 
35, 4.544887, 
36, 4.544884, 
37, 4.544777, 
38, 4.544555, 
39, 4.544201, 
40, 4.543699, 
41, 4.543031, 
42, 4.542177, 
43, 4.541115, 
44, 4.539821, 
45, 4.538268, 
46, 4.536427, 
47, 4.534265, 
48, 4.531747, 
49, 4.528834, 
50, 4.525484, 
51, 4.521649, 
52, 4.517279, 
53, 4.512319, 
54, 4.506709, 
55, 4.500384, 
56, 4.493276, 
57, 4.485312, 
58, 4.476413, 
59, 4.466498, 
60, 4.455484, 
61, 4.443285, 
62, 4.429815, 
63, 4.414988, 
64, 4.398724, 
65, 4.380947, 
66, 4.361589, 
67, 4.340596, 
68, 4.317928, 
69, 4.293561, 
70, 4.267494, 
71, 4.239748, 
72, 4.210370, 
73, 4.179430, 
74, 4.147023, 
75, 4.113269, 
76, 4.078303, 
77, 4.042278, 
78, 4.005351, 
79, 3.967685, 
80, 3.929436, 
81, 3.890749, 
82, 3.851754, 
83, 3.812556, 
84, 3.773233, 
85, 3.733838, 
86, 3.694390, 
87, 3.654878, 
88, 3.615260, 
89, 3.575464, 
90, 3.535393, 
91, 3.494922, 
92, 3.453902, 
93, 3.412166, 
94, 3.369528, 
95, 3.325789, 
96, 3.280739, 
97, 3.234164, 
98, 3.185847, 
99, 3.135575, 
100, 3.083146, 
101, 3.028376, 
102, 2.971102, 
103, 2.911192, 
104, 2.848547, 
105, 2.783113, 
106, 2.714879, 
107, 2.643885, 
108, 2.570222, 
109, 2.494033, 
110, 2.415516, 
111, 2.334921, 
112, 2.252546, 
113, 2.168739, 
114, 2.083889, 
115, 1.998418, 
116, 1.912778, 
117, 1.827433, 
118, 1.742853, 
119, 1.659499, 
120, 1.577809, 
121, 1.498189, 
122, 1.420999, 
123, 1.346544, 
124, 1.275075, 
125, 1.206776, 
126, 1.141776, 
127, 1.080144, 
128, 1.021895, 
129, 0.967002, 
130, 0.915395, 
131, 0.866978, 
132, 0.821626, 
133, 0.779202, 
134, 0.739554, 
135, 0.702525, 
136, 0.667957, 
137, 0.635691, 
138, 0.605574, 
139, 0.577457, 
140, 0.551197, 
141, 0.526661, 
142, 0.503721, 
143, 0.482259, 
144, 0.462164, 
145, 0.443335, 
146, 0.425676, 
147, 0.409100, 
148, 0.393526, 
149, 0.378879, 
150, 0.365091, 
151, 0.352100, 
152, 0.339846, 
153, 0.328278, 
154, 0.317347, 
155, 0.307006, 
156, 0.297216, 
157, 0.287939, 
158, 0.279139, 
159, 0.270784, 
160, 0.262846, 
161, 0.255295, 
162, 0.248109, 
163, 0.241262, 
164, 0.234735, 
165, 0.228507, 
166, 0.222559, 
167, 0.216875, 
168, 0.211439, 
169, 0.206237, 
170, 0.201254, 
171, 0.196479, 
172, 0.191899, 
173, 0.187504, 
174, 0.183284, 
175, 0.179229, 
176, 0.175330, 
177, 0.171579, 
178, 0.167969, 
179, 0.164491, 
180, 0.161140, 
181, 0.157909, 
182, 0.154792, 
183, 0.151783, 
184, 0.148878, 
185, 0.146071, 
186, 0.143358, 
187, 0.140735, 
188, 0.138196, 
189, 0.135740, 
190, 0.133361, 
191, 0.131056, 
192, 0.128823, 
193, 0.126657, 
194, 0.124557, 
195, 0.122519, 
196, 0.120541, 
197, 0.118620, 
198, 0.116755, 
199, 0.114942, 
200, 0.113180, 
201, 0.111466, 
202, 0.109800, 
203, 0.108178, 
204, 0.106600, 
205, 0.105063, 
206, 0.103567, 
207, 0.102109, 
208, 0.100688, 
209, 0.099304, 
210, 0.097954, 
211, 0.096637, 
212, 0.095352, 
213, 0.094099, 
214, 0.092876, 
215, 0.091681, 
216, 0.090515, 
217, 0.089376, 
218, 0.088263, 
219, 0.087175, 
220, 0.086112, 
221, 0.085072, 
222, 0.084056, 
223, 0.083061, 
224, 0.082089, 
225, 0.081137, 
226, 0.080206, 
227, 0.079294, 
228, 0.078401, 
229, 0.077527, 
230, 0.076670, 
231, 0.075831, 
232, 0.075009, 
233, 0.074204, 
234, 0.073414, 
235, 0.072640, 
236, 0.071881, 
237, 0.071136, 
238, 0.070406, 
239, 0.069689, 
240, 0.068987, 
241, 0.068297, 
242, 0.067620, 
243, 0.066955, 
244, 0.066303, 
245, 0.065662, 
246, 0.065032, 
247, 0.064414, 
248, 0.063807, 
249, 0.063211, 
250, 0.062624, 
251, 0.062048, 
252, 0.061482, 
253, 0.060925, 
254, 0.060378, 
255, 0.059840, 
256, 0.059310, 
257, 0.058790, 
258, 0.058278, 
259, 0.057774, 
260, 0.057278, 
261, 0.056790, 
262, 0.056310, 
263, 0.055838, 
264, 0.055373, 
265, 0.054915, 
266, 0.054464, 
267, 0.054020, 
268, 0.053583, 
269, 0.053153, 
270, 0.052729, 
271, 0.052311, 
272, 0.051899, 
273, 0.051494, 
274, 0.051094, 
275, 0.050701, 
276, 0.050312, 
277, 0.049930, 
