Epoch Number, Total Squared Error, 
0, 4.756188, 
1, 4.642116, 
2, 4.585451, 
3, 4.558003, 
4, 4.544394, 
5, 4.537197, 
6, 4.532999, 
7, 4.530253, 
8, 4.528258, 
9, 4.526686, 
10, 4.525381, 
11, 4.524265, 
12, 4.523295, 
13, 4.522444, 
14, 4.521694, 
15, 4.521031, 
16, 4.520444, 
17, 4.519921, 
18, 4.519454, 
19, 4.519033, 
20, 4.518648, 
21, 4.518290, 
22, 4.517948, 
23, 4.517613, 
24, 4.517273, 
25, 4.516918, 
26, 4.516533, 
27, 4.516107, 
28, 4.515624, 
29, 4.515070, 
30, 4.514426, 
31, 4.513674, 
32, 4.512794, 
33, 4.511762, 
34, 4.510553, 
35, 4.509140, 
36, 4.507493, 
37, 4.505576, 
38, 4.503353, 
39, 4.500784, 
40, 4.497822, 
41, 4.494419, 
42, 4.490521, 
43, 4.486069, 
44, 4.480999, 
45, 4.475242, 
46, 4.468726, 
47, 4.461373, 
48, 4.453100, 
49, 4.443821, 
50, 4.433450, 
51, 4.421897, 
52, 4.409073, 
53, 4.394893, 
54, 4.379276, 
55, 4.362148, 
56, 4.343448, 
57, 4.323126, 
58, 4.301149, 
59, 4.277507, 
60, 4.252209, 
61, 4.225290, 
62, 4.196811, 
63, 4.166857, 
64, 4.135537, 
65, 4.102986, 
66, 4.069351, 
67, 4.034797, 
68, 3.999494, 
69, 3.963615, 
70, 3.927324, 
71, 3.890777, 
72, 3.854112, 
73, 3.817443, 
74, 3.780860, 
75, 3.744425, 
76, 3.708171, 
77, 3.672098, 
78, 3.636180, 
79, 3.600361, 
80, 3.564559, 
81, 3.528664, 
82, 3.492545, 
83, 3.456048, 
84, 3.418999, 
85, 3.381207, 
86, 3.342464, 
87, 3.302547, 
88, 3.261223, 
89, 3.218249, 
90, 3.173378, 
91, 3.126360, 
92, 3.076951, 
93, 3.024915, 
94, 2.970033, 
95, 2.912110, 
96, 2.850980, 
97, 2.786519, 
98, 2.718648, 
99, 2.647344, 
100, 2.572645, 
101, 2.494663, 
102, 2.413581, 
103, 2.329665, 
104, 2.243265, 
105, 2.154808, 
106, 2.064803, 
107, 1.973819, 
108, 1.882477, 
109, 1.791429, 
110, 1.701330, 
111, 1.612816, 
112, 1.526477, 
113, 1.442839, 
114, 1.362343, 
115, 1.285338, 
116, 1.212078, 
117, 1.142723, 
118, 1.077344, 
119, 1.015940, 
120, 0.958445, 
121, 0.904744, 
122, 0.854682, 
123, 0.808082, 
124, 0.764749, 
125, 0.724479, 
126, 0.687067, 
127, 0.652311, 
128, 0.620016, 
129, 0.589995, 
130, 0.562072, 
131, 0.536081, 
132, 0.511869, 
133, 0.489293, 
134, 0.468222, 
135, 0.448536, 
136, 0.430124, 
137, 0.412884, 
138, 0.396724, 
139, 0.381559, 
140, 0.367313, 
141, 0.353914, 
142, 0.341299, 
143, 0.329408, 
144, 0.318188, 
145, 0.307590, 
146, 0.297569, 
147, 0.288083, 
148, 0.279096, 
149, 0.270573, 
150, 0.262482, 
151, 0.254794, 
152, 0.247482, 
153, 0.240522, 
154, 0.233891, 
155, 0.227569, 
156, 0.221535, 
157, 0.215773, 
158, 0.210265, 
159, 0.204997, 
160, 0.199954, 
161, 0.195124, 
162, 0.190493, 
163, 0.186052, 
164, 0.181789, 
165, 0.177694, 
166, 0.173759, 
167, 0.169974, 
168, 0.166333, 
169, 0.162827, 
170, 0.159450, 
171, 0.156194, 
172, 0.153055, 
173, 0.150026, 
174, 0.147102, 
175, 0.144277, 
176, 0.141548, 
177, 0.138910, 
178, 0.136358, 
179, 0.133888, 
180, 0.131498, 
181, 0.129182, 
182, 0.126939, 
183, 0.124765, 
184, 0.122656, 
185, 0.120611, 
186, 0.118626, 
187, 0.116700, 
188, 0.114829, 
189, 0.113011, 
190, 0.111244, 
191, 0.109527, 
192, 0.107857, 
193, 0.106232, 
194, 0.104651, 
195, 0.103113, 
196, 0.101614, 
197, 0.100155, 
198, 0.098733, 
199, 0.097347, 
200, 0.095997, 
201, 0.094680, 
202, 0.093395, 
203, 0.092142, 
204, 0.090919, 
205, 0.089725, 
206, 0.088559, 
207, 0.087421, 
208, 0.086309, 
209, 0.085222, 
210, 0.084161, 
211, 0.083123, 
212, 0.082108, 
213, 0.081116, 
214, 0.080145, 
215, 0.079196, 
216, 0.078266, 
217, 0.077357, 
218, 0.076466, 
219, 0.075595, 
220, 0.074741, 
221, 0.073905, 
222, 0.073085, 
223, 0.072283, 
224, 0.071496, 
225, 0.070725, 
226, 0.069968, 
227, 0.069227, 
228, 0.068500, 
229, 0.067787, 
230, 0.067087, 
231, 0.066401, 
232, 0.065727, 
233, 0.065066, 
234, 0.064417, 
235, 0.063779, 
236, 0.063154, 
237, 0.062539, 
238, 0.061935, 
239, 0.061342, 
240, 0.060760, 
241, 0.060187, 
242, 0.059625, 
243, 0.059071, 
244, 0.058528, 
245, 0.057993, 
246, 0.057468, 
247, 0.056951, 
248, 0.056443, 
249, 0.055943, 
250, 0.055451, 
251, 0.054967, 
252, 0.054490, 
253, 0.054022, 
254, 0.053561, 
255, 0.053107, 
256, 0.052660, 
257, 0.052219, 
258, 0.051786, 
259, 0.051359, 
260, 0.050939, 
261, 0.050525, 
262, 0.050117, 
263, 0.049716, 
