Epoch Number, Total Squared Error, 
0, 4.878493, 
1, 4.746780, 
2, 4.684742, 
3, 4.655989, 
4, 4.641412, 
5, 4.632701, 
6, 4.626519, 
7, 4.621564, 
8, 4.617334, 
9, 4.613629, 
10, 4.610363, 
11, 4.607484, 
12, 4.604959, 
13, 4.602754, 
14, 4.600841, 
15, 4.599193, 
16, 4.597781, 
17, 4.596584, 
18, 4.595576, 
19, 4.594739, 
20, 4.594052, 
21, 4.593497, 
22, 4.593058, 
23, 4.592719, 
24, 4.592466, 
25, 4.592284, 
26, 4.592159, 
27, 4.592080, 
28, 4.592032, 
29, 4.592004, 
30, 4.591982, 
31, 4.591953, 
32, 4.591905, 
33, 4.591823, 
34, 4.591693, 
35, 4.591500, 
36, 4.591229, 
37, 4.590862, 
38, 4.590382, 
39, 4.589768, 
40, 4.589001, 
41, 4.588058, 
42, 4.586913, 
43, 4.585541, 
44, 4.583913, 
45, 4.581997, 
46, 4.579759, 
47, 4.577161, 
48, 4.574162, 
49, 4.570719, 
50, 4.566782, 
51, 4.562300, 
52, 4.557215, 
53, 4.551467, 
54, 4.544988, 
55, 4.537710, 
56, 4.529556, 
57, 4.520446, 
58, 4.510296, 
59, 4.499018, 
60, 4.486520, 
61, 4.472710, 
62, 4.457491, 
63, 4.440771, 
64, 4.422457, 
65, 4.402458, 
66, 4.380694, 
67, 4.357089, 
68, 4.331577, 
69, 4.304105, 
70, 4.274634, 
71, 4.243137, 
72, 4.209602, 
73, 4.174028, 
74, 4.136423, 
75, 4.096803, 
76, 4.055179, 
77, 4.011557, 
78, 3.965924, 
79, 3.918243, 
80, 3.868441, 
81, 3.816400, 
82, 3.761951, 
83, 3.704867, 
84, 3.644860, 
85, 3.581582, 
86, 3.514629, 
87, 3.443558, 
88, 3.367900, 
89, 3.287195, 
90, 3.201025, 
91, 3.109066, 
92, 3.011137, 
93, 2.907257, 
94, 2.797696, 
95, 2.683004, 
96, 2.564021, 
97, 2.441849, 
98, 2.317797, 
99, 2.193298, 
100, 2.069804, 
101, 1.948695, 
102, 1.831192, 
103, 1.718302, 
104, 1.610793, 
105, 1.509185, 
106, 1.413776, 
107, 1.324665, 
108, 1.241797, 
109, 1.164992, 
110, 1.093988, 
111, 1.028463, 
112, 0.968064, 
113, 0.912425, 
114, 0.861179, 
115, 0.813971, 
116, 0.770459, 
117, 0.730325, 
118, 0.693273, 
119, 0.659027, 
120, 0.627339, 
121, 0.597978, 
122, 0.570738, 
123, 0.545431, 
124, 0.521886, 
125, 0.499951, 
126, 0.479485, 
127, 0.460363, 
128, 0.442473, 
129, 0.425713, 
130, 0.409989, 
131, 0.395219, 
132, 0.381326, 
133, 0.368243, 
134, 0.355906, 
135, 0.344260, 
136, 0.333253, 
137, 0.322838, 
138, 0.312973, 
139, 0.303618, 
140, 0.294739, 
141, 0.286302, 
142, 0.278278, 
143, 0.270640, 
144, 0.263361, 
145, 0.256420, 
146, 0.249795, 
147, 0.243466, 
148, 0.237415, 
149, 0.231625, 
150, 0.226081, 
151, 0.220769, 
152, 0.215675, 
153, 0.210787, 
154, 0.206093, 
155, 0.201583, 
156, 0.197246, 
157, 0.193074, 
158, 0.189058, 
159, 0.185189, 
160, 0.181461, 
161, 0.177865, 
162, 0.174396, 
163, 0.171048, 
164, 0.167813, 
165, 0.164688, 
166, 0.161667, 
167, 0.158744, 
168, 0.155916, 
169, 0.153178, 
170, 0.150527, 
171, 0.147958, 
172, 0.145467, 
173, 0.143052, 
174, 0.140709, 
175, 0.138435, 
176, 0.136227, 
177, 0.134083, 
178, 0.132000, 
179, 0.129975, 
180, 0.128006, 
181, 0.126092, 
182, 0.124229, 
183, 0.122416, 
184, 0.120651, 
185, 0.118933, 
186, 0.117259, 
187, 0.115627, 
188, 0.114037, 
189, 0.112487, 
190, 0.110975, 
191, 0.109500, 
192, 0.108061, 
193, 0.106657, 
194, 0.105286, 
195, 0.103947, 
196, 0.102639, 
197, 0.101361, 
198, 0.100113, 
199, 0.098893, 
200, 0.097699, 
201, 0.096533, 
202, 0.095392, 
203, 0.094275, 
204, 0.093183, 
205, 0.092114, 
206, 0.091067, 
207, 0.090042, 
208, 0.089039, 
209, 0.088056, 
210, 0.087093, 
211, 0.086150, 
212, 0.085225, 
213, 0.084319, 
214, 0.083430, 
215, 0.082559, 
216, 0.081705, 
217, 0.080867, 
218, 0.080044, 
219, 0.079238, 
220, 0.078446, 
221, 0.077669, 
222, 0.076906, 
223, 0.076157, 
224, 0.075422, 
225, 0.074700, 
226, 0.073990, 
227, 0.073293, 
228, 0.072608, 
229, 0.071936, 
230, 0.071274, 
231, 0.070624, 
232, 0.069985, 
233, 0.069357, 
234, 0.068739, 
235, 0.068132, 
236, 0.067534, 
237, 0.066947, 
238, 0.066368, 
239, 0.065799, 
240, 0.065240, 
241, 0.064689, 
242, 0.064146, 
243, 0.063612, 
244, 0.063087, 
245, 0.062570, 
246, 0.062060, 
247, 0.061558, 
248, 0.061064, 
249, 0.060577, 
250, 0.060098, 
251, 0.059625, 
252, 0.059160, 
253, 0.058701, 
254, 0.058249, 
255, 0.057804, 
256, 0.057364, 
257, 0.056931, 
258, 0.056505, 
259, 0.056084, 
260, 0.055669, 
261, 0.055260, 
262, 0.054856, 
263, 0.054458, 
264, 0.054066, 
265, 0.053678, 
266, 0.053296, 
267, 0.052919, 
268, 0.052547, 
269, 0.052180, 
270, 0.051818, 
271, 0.051460, 
272, 0.051107, 
273, 0.050759, 
274, 0.050415, 
275, 0.050076, 
276, 0.049740, 
