Epoch Number, Total Squared Error, 
0, 4.938661, 
1, 4.812218, 
2, 4.749122, 
3, 4.716250, 
4, 4.697083, 
5, 4.684231, 
6, 4.674484, 
7, 4.666434, 
8, 4.659435, 
9, 4.653165, 
10, 4.647443, 
11, 4.642153, 
12, 4.637210, 
13, 4.632544, 
14, 4.628096, 
15, 4.623809, 
16, 4.619634, 
17, 4.615520, 
18, 4.611419, 
19, 4.607283, 
20, 4.603062, 
21, 4.598704, 
22, 4.594158, 
23, 4.589366, 
24, 4.584269, 
25, 4.578803, 
26, 4.572897, 
27, 4.566476, 
28, 4.559453, 
29, 4.551737, 
30, 4.543224, 
31, 4.533798, 
32, 4.523330, 
33, 4.511675, 
34, 4.498671, 
35, 4.484136, 
36, 4.467863, 
37, 4.449623, 
38, 4.429158, 
39, 4.406179, 
40, 4.380364, 
41, 4.351355, 
42, 4.318759, 
43, 4.282145, 
44, 4.241045, 
45, 4.194960, 
46, 4.143365, 
47, 4.085719, 
48, 4.021479, 
49, 3.950123, 
50, 3.871173, 
51, 3.784228, 
52, 3.688999, 
53, 3.585351, 
54, 3.473340, 
55, 3.353254, 
56, 3.225641, 
57, 3.091324, 
58, 2.951403, 
59, 2.807224, 
60, 2.660338, 
61, 2.512429, 
62, 2.365224, 
63, 2.220403, 
64, 2.079508, 
65, 1.943866, 
66, 1.814541, 
67, 1.692308, 
68, 1.577652, 
69, 1.470800, 
70, 1.371747, 
71, 1.280316, 
72, 1.196191, 
73, 1.118971, 
74, 1.048196, 
75, 0.983386, 
76, 0.924054, 
77, 0.869729, 
78, 0.819959, 
79, 0.774325, 
80, 0.732435, 
81, 0.693935, 
82, 0.658499, 
83, 0.625835, 
84, 0.595679, 
85, 0.567793, 
86, 0.541965, 
87, 0.518002, 
88, 0.495735, 
89, 0.475010, 
90, 0.455690, 
91, 0.437651, 
92, 0.420783, 
93, 0.404987, 
94, 0.390172, 
95, 0.376259, 
96, 0.363174, 
97, 0.350853, 
98, 0.339235, 
99, 0.328267, 
100, 0.317901, 
101, 0.308091, 
102, 0.298797, 
103, 0.289983, 
104, 0.281616, 
105, 0.273663, 
106, 0.266098, 
107, 0.258894, 
108, 0.252028, 
109, 0.245478, 
110, 0.239225, 
111, 0.233249, 
112, 0.227534, 
113, 0.222064, 
114, 0.216825, 
115, 0.211803, 
116, 0.206986, 
117, 0.202362, 
118, 0.197920, 
119, 0.193650, 
120, 0.189544, 
121, 0.185592, 
122, 0.181786, 
123, 0.178120, 
124, 0.174584, 
125, 0.171174, 
126, 0.167883, 
127, 0.164705, 
128, 0.161634, 
129, 0.158667, 
130, 0.155796, 
131, 0.153019, 
132, 0.150331, 
133, 0.147728, 
134, 0.145206, 
135, 0.142762, 
136, 0.140392, 
137, 0.138093, 
138, 0.135861, 
139, 0.133696, 
140, 0.131592, 
141, 0.129549, 
142, 0.127563, 
143, 0.125632, 
144, 0.123755, 
145, 0.121928, 
146, 0.120151, 
147, 0.118420, 
148, 0.116735, 
149, 0.115094, 
150, 0.113495, 
151, 0.111936, 
152, 0.110417, 
153, 0.108935, 
154, 0.107490, 
155, 0.106079, 
156, 0.104703, 
157, 0.103359, 
158, 0.102047, 
159, 0.100765, 
160, 0.099513, 
161, 0.098290, 
162, 0.097094, 
163, 0.095925, 
164, 0.094781, 
165, 0.093663, 
166, 0.092569, 
167, 0.091499, 
168, 0.090451, 
169, 0.089426, 
170, 0.088422, 
171, 0.087439, 
172, 0.086476, 
173, 0.085533, 
174, 0.084608, 
175, 0.083702, 
176, 0.082814, 
177, 0.081944, 
178, 0.081090, 
179, 0.080253, 
180, 0.079432, 
181, 0.078626, 
182, 0.077836, 
183, 0.077060, 
184, 0.076299, 
185, 0.075551, 
186, 0.074818, 
187, 0.074097, 
188, 0.073389, 
189, 0.072694, 
190, 0.072011, 
191, 0.071341, 
192, 0.070681, 
193, 0.070033, 
194, 0.069396, 
195, 0.068770, 
196, 0.068155, 
197, 0.067549, 
198, 0.066954, 
199, 0.066369, 
200, 0.065793, 
201, 0.065226, 
202, 0.064669, 
203, 0.064120, 
204, 0.063580, 
205, 0.063049, 
206, 0.062525, 
207, 0.062010, 
208, 0.061503, 
209, 0.061004, 
210, 0.060512, 
211, 0.060028, 
212, 0.059551, 
213, 0.059081, 
214, 0.058618, 
215, 0.058162, 
216, 0.057712, 
217, 0.057269, 
218, 0.056832, 
219, 0.056402, 
220, 0.055977, 
221, 0.055559, 
222, 0.055147, 
223, 0.054740, 
224, 0.054339, 
225, 0.053943, 
226, 0.053553, 
227, 0.053168, 
228, 0.052789, 
229, 0.052414, 
230, 0.052044, 
231, 0.051680, 
232, 0.051320, 
233, 0.050965, 
234, 0.050614, 
235, 0.050268, 
236, 0.049927, 
