Epoch Number, Total Squared Error, 
0, 4.691570, 
1, 4.638442, 
2, 4.613429, 
3, 4.600671, 
4, 4.593177, 
5, 4.587959, 
6, 4.583741, 
7, 4.579964, 
8, 4.576368, 
9, 4.572817, 
10, 4.569227, 
11, 4.565535, 
12, 4.561683, 
13, 4.557614, 
14, 4.553270, 
15, 4.548588, 
16, 4.543497, 
17, 4.537921, 
18, 4.531777, 
19, 4.524970, 
20, 4.517398, 
21, 4.508945, 
22, 4.499484, 
23, 4.488873, 
24, 4.476958, 
25, 4.463566, 
26, 4.448509, 
27, 4.431582, 
28, 4.412560, 
29, 4.391205, 
30, 4.367261, 
31, 4.340455, 
32, 4.310507, 
33, 4.277125, 
34, 4.240017, 
35, 4.198891, 
36, 4.153464, 
37, 4.103468, 
38, 4.048655, 
39, 3.988802, 
40, 3.923716, 
41, 3.853234, 
42, 3.777225, 
43, 3.695584, 
44, 3.608235, 
45, 3.515129, 
46, 3.416251, 
47, 3.311625, 
48, 3.201339, 
49, 3.085566, 
50, 2.964600, 
51, 2.838888, 
52, 2.709068, 
53, 2.575983, 
54, 2.440688, 
55, 2.304425, 
56, 2.168570, 
57, 2.034556, 
58, 1.903784, 
59, 1.777527, 
60, 1.656856, 
61, 1.542592, 
62, 1.435280, 
63, 1.335206, 
64, 1.242425, 
65, 1.156804, 
66, 1.078070, 
67, 1.005855, 
68, 0.939731, 
69, 0.879244, 
70, 0.823933, 
71, 0.773351, 
72, 0.727068, 
73, 0.684685, 
74, 0.645831, 
75, 0.610169, 
76, 0.577390, 
77, 0.547218, 
78, 0.519402, 
79, 0.493717, 
80, 0.469963, 
81, 0.447958, 
82, 0.427541, 
83, 0.408567, 
84, 0.390908, 
85, 0.374446, 
86, 0.359077, 
87, 0.344707, 
88, 0.331253, 
89, 0.318639, 
90, 0.306795, 
91, 0.295661, 
92, 0.285180, 
93, 0.275302, 
94, 0.265981, 
95, 0.257175, 
96, 0.248847, 
97, 0.240962, 
98, 0.233489, 
99, 0.226398, 
100, 0.219664, 
101, 0.213262, 
102, 0.207171, 
103, 0.201370, 
104, 0.195840, 
105, 0.190565, 
106, 0.185528, 
107, 0.180714, 
108, 0.176111, 
109, 0.171706, 
110, 0.167487, 
111, 0.163444, 
112, 0.159566, 
113, 0.155845, 
114, 0.152271, 
115, 0.148836, 
116, 0.145534, 
117, 0.142357, 
118, 0.139299, 
119, 0.136353, 
120, 0.133514, 
121, 0.130777, 
122, 0.128136, 
123, 0.125587, 
124, 0.123125, 
125, 0.120747, 
126, 0.118448, 
127, 0.116225, 
128, 0.114074, 
129, 0.111992, 
130, 0.109975, 
131, 0.108022, 
132, 0.106130, 
133, 0.104294, 
134, 0.102515, 
135, 0.100788, 
136, 0.099112, 
137, 0.097484, 
138, 0.095903, 
139, 0.094367, 
140, 0.092875, 
141, 0.091423, 
142, 0.090011, 
143, 0.088638, 
144, 0.087301, 
145, 0.086000, 
146, 0.084733, 
147, 0.083498, 
148, 0.082296, 
149, 0.081124, 
150, 0.079981, 
151, 0.078867, 
152, 0.077780, 
153, 0.076719, 
154, 0.075684, 
155, 0.074674, 
156, 0.073688, 
157, 0.072725, 
158, 0.071784, 
159, 0.070864, 
160, 0.069966, 
161, 0.069088, 
162, 0.068229, 
163, 0.067389, 
164, 0.066568, 
165, 0.065764, 
166, 0.064978, 
167, 0.064208, 
168, 0.063455, 
169, 0.062718, 
170, 0.061995, 
171, 0.061288, 
172, 0.060595, 
173, 0.059916, 
174, 0.059250, 
175, 0.058598, 
176, 0.057959, 
177, 0.057332, 
178, 0.056717, 
179, 0.056114, 
180, 0.055523, 
181, 0.054942, 
182, 0.054373, 
183, 0.053814, 
184, 0.053265, 
185, 0.052727, 
186, 0.052198, 
187, 0.051679, 
188, 0.051169, 
189, 0.050668, 
190, 0.050176, 
191, 0.049692, 
