Epoch Number, Total Squared Error, 
0, 4.597404, 
1, 4.571072, 
2, 4.557856, 
3, 4.550737, 
4, 4.546515, 
5, 4.543752, 
6, 4.541801, 
7, 4.540361, 
8, 4.539287, 
9, 4.538502, 
10, 4.537959, 
11, 4.537628, 
12, 4.537487, 
13, 4.537519, 
14, 4.537707, 
15, 4.538039, 
16, 4.538504, 
17, 4.539090, 
18, 4.539788, 
19, 4.540589, 
20, 4.541487, 
21, 4.542472, 
22, 4.543539, 
23, 4.544681, 
24, 4.545892, 
25, 4.547166, 
26, 4.548499, 
27, 4.549885, 
28, 4.551320, 
29, 4.552799, 
30, 4.554318, 
31, 4.555871, 
32, 4.557456, 
33, 4.559068, 
34, 4.560702, 
35, 4.562354, 
36, 4.564020, 
37, 4.565696, 
38, 4.567377, 
39, 4.569058, 
40, 4.570734, 
41, 4.572399, 
42, 4.574048, 
43, 4.575674, 
44, 4.577271, 
45, 4.578831, 
46, 4.580346, 
47, 4.581806, 
48, 4.583201, 
49, 4.584521, 
50, 4.585753, 
51, 4.586882, 
52, 4.587893, 
53, 4.588768, 
54, 4.589488, 
55, 4.590029, 
56, 4.590367, 
57, 4.590473, 
58, 4.590316, 
59, 4.589859, 
60, 4.589061, 
61, 4.587878, 
62, 4.586257, 
63, 4.584142, 
64, 4.581468, 
65, 4.578163, 
66, 4.574148, 
67, 4.569334, 
68, 4.563623, 
69, 4.556909, 
70, 4.549075, 
71, 4.539992, 
72, 4.529526, 
73, 4.517529, 
74, 4.503848, 
75, 4.488322, 
76, 4.470783, 
77, 4.451064, 
78, 4.428995, 
79, 4.404408, 
80, 4.377144, 
81, 4.347049, 
82, 4.313984, 
83, 4.277821, 
84, 4.238450, 
85, 4.195768, 
86, 4.149689, 
87, 4.100124, 
88, 4.046987, 
89, 3.990172, 
90, 3.929548, 
91, 3.864946, 
92, 3.796143, 
93, 3.722855, 
94, 3.644739, 
95, 3.561396, 
96, 3.472398, 
97, 3.377323, 
98, 3.275815, 
99, 3.167655, 
100, 3.052841, 
101, 2.931662, 
102, 2.804747, 
103, 2.673082, 
104, 2.537970, 
105, 2.400958, 
106, 2.263729, 
107, 2.127982, 
108, 1.995315, 
109, 1.867130, 
110, 1.744573, 
111, 1.628494, 
112, 1.519447, 
113, 1.417715, 
114, 1.323343, 
115, 1.236190, 
