Epoch Number, Total Squared Error, 
0, 4.858699, 
1, 4.732415, 
2, 4.670056, 
3, 4.639946, 
4, 4.624827, 
5, 4.616511, 
6, 4.611329, 
7, 4.607668, 
8, 4.604810, 
9, 4.602426, 
10, 4.600356, 
11, 4.598513, 
12, 4.596846, 
13, 4.595320, 
14, 4.593907, 
15, 4.592585, 
16, 4.591334, 
17, 4.590135, 
18, 4.588969, 
19, 4.587818, 
20, 4.586665, 
21, 4.585488, 
22, 4.584270, 
23, 4.582988, 
24, 4.581620, 
25, 4.580143, 
26, 4.578530, 
27, 4.576754, 
28, 4.574784, 
29, 4.572589, 
30, 4.570132, 
31, 4.567374, 
32, 4.564274, 
33, 4.560786, 
34, 4.556860, 
35, 4.552443, 
36, 4.547476, 
37, 4.541898, 
38, 4.535641, 
39, 4.528636, 
40, 4.520807, 
41, 4.512078, 
42, 4.502368, 
43, 4.491595, 
44, 4.479678, 
45, 4.466535, 
46, 4.452090, 
47, 4.436272, 
48, 4.419015, 
49, 4.400268, 
50, 4.379991, 
51, 4.358161, 
52, 4.334773, 
53, 4.309844, 
54, 4.283412, 
55, 4.255537, 
56, 4.226302, 
57, 4.195810, 
58, 4.164180, 
59, 4.131544, 
60, 4.098043, 
61, 4.063820, 
62, 4.029014, 
63, 3.993752, 
64, 3.958148, 
65, 3.922295, 
66, 3.886261, 
67, 3.850086, 
68, 3.813779, 
69, 3.777320, 
70, 3.740651, 
71, 3.703685, 
72, 3.666296, 
73, 3.628323, 
74, 3.589567, 
75, 3.549788, 
76, 3.508698, 
77, 3.465961, 
78, 3.421184, 
79, 3.373907, 
80, 3.323603, 
81, 3.269666, 
82, 3.211409, 
83, 3.148069, 
84, 3.078822, 
85, 3.002817, 
86, 2.919228, 
87, 2.827352, 
88, 2.726723, 
89, 2.617258, 
90, 2.499404, 
91, 2.374235, 
92, 2.243472, 
93, 2.109388, 
94, 1.974582, 
95, 1.841696, 
96, 1.713112, 
97, 1.590739, 
98, 1.475898, 
99, 1.369331, 
100, 1.271287, 
101, 1.181636, 
102, 1.099997, 
103, 1.025836, 
104, 0.958547, 
105, 0.897504, 
106, 0.842097, 
107, 0.791750, 
108, 0.745933, 
109, 0.704168, 
110, 0.666021, 
111, 0.631110, 
112, 0.599093, 
113, 0.569668, 
114, 0.542569, 
115, 0.517560, 
116, 0.494432, 
117, 0.473003, 
118, 0.453107, 
119, 0.434601, 
120, 0.417357, 
121, 0.401260, 
122, 0.386209, 
123, 0.372112, 
124, 0.358889, 
125, 0.346465, 
126, 0.334777, 
127, 0.323765, 
128, 0.313375, 
129, 0.303561, 
130, 0.294278, 
131, 0.285487, 
132, 0.277152, 
133, 0.269242, 
134, 0.261725, 
135, 0.254576, 
136, 0.247769, 
137, 0.241281, 
138, 0.235093, 
139, 0.229184, 
140, 0.223538, 
141, 0.218138, 
142, 0.212969, 
143, 0.208017, 
144, 0.203270, 
145, 0.198716, 
146, 0.194344, 
147, 0.190143, 
148, 0.186105, 
149, 0.182220, 
150, 0.178481, 
151, 0.174879, 
152, 0.171407, 
153, 0.168060, 
154, 0.164830, 
155, 0.161712, 
156, 0.158701, 
157, 0.155791, 
158, 0.152977, 
159, 0.150255, 
160, 0.147621, 
161, 0.145070, 
162, 0.142600, 
163, 0.140205, 
164, 0.137884, 
165, 0.135633, 
166, 0.133449, 
167, 0.131328, 
168, 0.129270, 
169, 0.127269, 
170, 0.125326, 
171, 0.123437, 
172, 0.121599, 
173, 0.119812, 
174, 0.118073, 
175, 0.116380, 
176, 0.114732, 
177, 0.113126, 
178, 0.111562, 
179, 0.110037, 
180, 0.108551, 
181, 0.107101, 
182, 0.105687, 
183, 0.104308, 
184, 0.102962, 
185, 0.101647, 
186, 0.100364, 
187, 0.099110, 
188, 0.097886, 
189, 0.096689, 
190, 0.095519, 
191, 0.094376, 
192, 0.093257, 
193, 0.092164, 
194, 0.091094, 
195, 0.090047, 
196, 0.089022, 
197, 0.088019, 
198, 0.087037, 
199, 0.086075, 
200, 0.085133, 
201, 0.084210, 
202, 0.083305, 
203, 0.082419, 
204, 0.081550, 
205, 0.080698, 
206, 0.079863, 
207, 0.079044, 
208, 0.078240, 
209, 0.077452, 
210, 0.076679, 
211, 0.075919, 
212, 0.075174, 
213, 0.074443, 
214, 0.073725, 
215, 0.073019, 
216, 0.072326, 
217, 0.071646, 
218, 0.070977, 
219, 0.070321, 
220, 0.069675, 
221, 0.069041, 
222, 0.068417, 
223, 0.067804, 
224, 0.067201, 
225, 0.066608, 
226, 0.066025, 
227, 0.065452, 
228, 0.064888, 
229, 0.064333, 
230, 0.063787, 
231, 0.063249, 
232, 0.062720, 
233, 0.062200, 
234, 0.061687, 
235, 0.061182, 
236, 0.060685, 
237, 0.060196, 
238, 0.059714, 
239, 0.059240, 
240, 0.058772, 
241, 0.058311, 
242, 0.057858, 
243, 0.057410, 
244, 0.056970, 
245, 0.056535, 
246, 0.056107, 
247, 0.055685, 
248, 0.055269, 
249, 0.054859, 
250, 0.054454, 
251, 0.054056, 
252, 0.053662, 
253, 0.053274, 
254, 0.052892, 
255, 0.052514, 
256, 0.052142, 
257, 0.051774, 
258, 0.051412, 
259, 0.051054, 
260, 0.050701, 
261, 0.050352, 
262, 0.050008, 
263, 0.049669, 
