Epoch Number, Total Squared Error, 
0, 4.770464, 
1, 4.683297, 
2, 4.643146, 
3, 4.624675, 
4, 4.615738, 
5, 4.610981, 
6, 4.608110, 
7, 4.606147, 
8, 4.604668, 
9, 4.603484, 
10, 4.602503, 
11, 4.601676, 
12, 4.600975, 
13, 4.600378, 
14, 4.599869, 
15, 4.599436, 
16, 4.599064, 
17, 4.598743, 
18, 4.598461, 
19, 4.598207, 
20, 4.597970, 
21, 4.597739, 
22, 4.597503, 
23, 4.597251, 
24, 4.596971, 
25, 4.596650, 
26, 4.596278, 
27, 4.595840, 
28, 4.595322, 
29, 4.594711, 
30, 4.593990, 
31, 4.593142, 
32, 4.592151, 
33, 4.590997, 
34, 4.589658, 
35, 4.588113, 
36, 4.586337, 
37, 4.584303, 
38, 4.581983, 
39, 4.579345, 
40, 4.576354, 
41, 4.572972, 
42, 4.569159, 
43, 4.564869, 
44, 4.560052, 
45, 4.554655, 
46, 4.548619, 
47, 4.541881, 
48, 4.534371, 
49, 4.526014, 
50, 4.516732, 
51, 4.506438, 
52, 4.495042, 
53, 4.482449, 
54, 4.468561, 
55, 4.453276, 
56, 4.436495, 
57, 4.418117, 
58, 4.398048, 
59, 4.376204, 
60, 4.352512, 
61, 4.326916, 
62, 4.299383, 
63, 4.269907, 
64, 4.238514, 
65, 4.205264, 
66, 4.170256, 
67, 4.133623, 
68, 4.095536, 
69, 4.056197, 
70, 4.015833, 
71, 3.974686, 
72, 3.933010, 
73, 3.891056, 
74, 3.849069, 
75, 3.807275, 
76, 3.765881, 
77, 3.725068, 
78, 3.684992, 
79, 3.645780, 
80, 3.607531, 
81, 3.570322, 
82, 3.534204, 
83, 3.499209, 
84, 3.465350, 
85, 3.432622, 
86, 3.401010, 
87, 3.370483, 
88, 3.341002, 
89, 3.312517, 
90, 3.284972, 
91, 3.258300, 
92, 3.232431, 
93, 3.207283, 
94, 3.182769, 
95, 3.158793, 
96, 3.135250, 
97, 3.112025, 
98, 3.088987, 
99, 3.065995, 
100, 3.042889, 
101, 3.019486, 
102, 2.995585, 
103, 2.970952, 
104, 2.945324, 
105, 2.918401, 
106, 2.889840, 
107, 2.859255, 
108, 2.826206, 
109, 2.790205, 
110, 2.750709, 
111, 2.707129, 
112, 2.658836, 
113, 2.605186, 
114, 2.545545, 
115, 2.479336, 
116, 2.406099, 
117, 2.325570, 
118, 2.237769, 
119, 2.143086, 
120, 2.042352, 
121, 1.936863, 
122, 1.828335, 
123, 1.718774, 
124, 1.610280, 
125, 1.504821, 
126, 1.404028, 
127, 1.309075, 
128, 1.220646, 
129, 1.138993, 
130, 1.064031, 
131, 0.995454, 
132, 0.932828, 
133, 0.875665, 
134, 0.823471, 
135, 0.775768, 
136, 0.732116, 
137, 0.692111, 
138, 0.655389, 
139, 0.621626, 
140, 0.590528, 
141, 0.561836, 
142, 0.535319, 
143, 0.510769, 
144, 0.488001, 
145, 0.466852, 
146, 0.447173, 
147, 0.428833, 
148, 0.411713, 
149, 0.395709, 
150, 0.380726, 
151, 0.366676, 
152, 0.353485, 
153, 0.341082, 
154, 0.329405, 
155, 0.318398, 
156, 0.308008, 
157, 0.298190, 
158, 0.288900, 
159, 0.280102, 
160, 0.271759, 
161, 0.263841, 
162, 0.256316, 
163, 0.249160, 
164, 0.242347, 
165, 0.235854, 
166, 0.229662, 
167, 0.223751, 
168, 0.218103, 
169, 0.212703, 
170, 0.207536, 
171, 0.202587, 
172, 0.197844, 
173, 0.193296, 
174, 0.188930, 
175, 0.184738, 
176, 0.180709, 
177, 0.176834, 
178, 0.173106, 
179, 0.169517, 
180, 0.166059, 
181, 0.162725, 
182, 0.159510, 
183, 0.156408, 
184, 0.153413, 
185, 0.150520, 
186, 0.147724, 
187, 0.145020, 
188, 0.142405, 
189, 0.139874, 
190, 0.137423, 
191, 0.135049, 
192, 0.132748, 
193, 0.130518, 
194, 0.128354, 
195, 0.126256, 
196, 0.124218, 
197, 0.122240, 
198, 0.120319, 
199, 0.118452, 
200, 0.116637, 
201, 0.114872, 
202, 0.113156, 
203, 0.111486, 
204, 0.109860, 
205, 0.108277, 
206, 0.106736, 
207, 0.105234, 
208, 0.103771, 
209, 0.102344, 
210, 0.100953, 
211, 0.099596, 
212, 0.098273, 
213, 0.096981, 
214, 0.095721, 
215, 0.094490, 
216, 0.093288, 
217, 0.092114, 
218, 0.090967, 
219, 0.089846, 
220, 0.088750, 
221, 0.087678, 
222, 0.086630, 
223, 0.085606, 
224, 0.084603, 
225, 0.083621, 
226, 0.082661, 
227, 0.081721, 
228, 0.080800, 
229, 0.079899, 
230, 0.079015, 
231, 0.078150, 
232, 0.077302, 
233, 0.076471, 
234, 0.075657, 
235, 0.074858, 
236, 0.074075, 
237, 0.073307, 
238, 0.072554, 
239, 0.071814, 
240, 0.071089, 
241, 0.070377, 
242, 0.069679, 
243, 0.068993, 
244, 0.068319, 
245, 0.067658, 
246, 0.067009, 
247, 0.066371, 
248, 0.065744, 
249, 0.065128, 
250, 0.064523, 
251, 0.063928, 
252, 0.063344, 
253, 0.062769, 
254, 0.062204, 
255, 0.061648, 
256, 0.061102, 
257, 0.060564, 
258, 0.060036, 
259, 0.059516, 
260, 0.059004, 
261, 0.058500, 
262, 0.058004, 
263, 0.057517, 
264, 0.057036, 
265, 0.056564, 
266, 0.056098, 
267, 0.055640, 
268, 0.055188, 
269, 0.054743, 
270, 0.054305, 
271, 0.053874, 
272, 0.053449, 
273, 0.053030, 
274, 0.052617, 
275, 0.052211, 
276, 0.051810, 
277, 0.051414, 
278, 0.051025, 
279, 0.050641, 
280, 0.050262, 
281, 0.049889, 
