Epoch Number, Total Squared Error, 
0, 4.936126, 
1, 4.702513, 
2, 4.775390, 
3, 4.588725, 
4, 4.429803, 
5, 4.450918, 
6, 4.481050, 
7, 4.529013, 
8, 4.516272, 
9, 4.492163, 
10, 4.495434, 
11, 4.509590, 
12, 4.524774, 
13, 4.524595, 
14, 4.517038, 
15, 4.516839, 
16, 4.524861, 
17, 4.535061, 
18, 4.540640, 
19, 4.542920, 
20, 4.547066, 
21, 4.554249, 
22, 4.561585, 
23, 4.565926, 
24, 4.566964, 
25, 4.565151, 
26, 4.557942, 
27, 4.538141, 
28, 4.493288, 
29, 4.403740, 
30, 4.241600, 
31, 3.983374, 
32, 3.641267, 
33, 3.248698, 
34, 2.776513, 
35, 2.185824, 
36, 1.520537, 
37, 0.916027, 
38, 0.537702, 
39, 0.287783, 
40, 0.166567, 
41, 0.108861, 
42, 0.078670, 
43, 0.061461, 
44, 0.050865, 
45, 0.043888, 
