Epoch Number, Total Squared Error, 
0, 4.927415, 
1, 4.581761, 
2, 4.581799, 
3, 4.543596, 
4, 4.587960, 
5, 4.591868, 
6, 4.513903, 
7, 4.495309, 
8, 4.508788, 
9, 4.536415, 
10, 4.540961, 
11, 4.521893, 
12, 4.516754, 
13, 4.527288, 
14, 4.539832, 
15, 4.541326, 
16, 4.536708, 
17, 4.538126, 
18, 4.545062, 
19, 4.549552, 
20, 4.546832, 
21, 4.539095, 
22, 4.527390, 
23, 4.505046, 
24, 4.459577, 
25, 4.375768, 
26, 4.236224, 
27, 4.026980, 
28, 3.758283, 
29, 3.476469, 
30, 3.219441, 
31, 2.953213, 
32, 2.571296, 
33, 2.007493, 
34, 1.352797, 
35, 0.826392, 
36, 0.520895, 
37, 0.339784, 
38, 0.225643, 
39, 0.153727, 
40, 0.109239, 
41, 0.081564, 
42, 0.063857, 
43, 0.052093, 
44, 0.043962, 
