Epoch Number, Total Squared Error, 
0, 4.780155, 
1, 4.637618, 
2, 4.587455, 
3, 4.583888, 
4, 4.607508, 
5, 4.583317, 
6, 4.552224, 
7, 4.553416, 
8, 4.570637, 
9, 4.579290, 
10, 4.570930, 
11, 4.565742, 
12, 4.571102, 
13, 4.577453, 
14, 4.576195, 
15, 4.569749, 
16, 4.564463, 
17, 4.558747, 
18, 4.544960, 
19, 4.515053, 
20, 4.459952, 
21, 4.364603, 
22, 4.210139, 
23, 3.989391, 
24, 3.723069, 
25, 3.451849, 
26, 3.195719, 
27, 2.928339, 
28, 2.598075, 
29, 2.180318, 
30, 1.728857, 
31, 1.260076, 
32, 0.837050, 
33, 0.560014, 
34, 0.393386, 
35, 0.290069, 
36, 0.224428, 
37, 0.180068, 
38, 0.147655, 
39, 0.123076, 
40, 0.104266, 
41, 0.089771, 
42, 0.078465, 
43, 0.069491, 
44, 0.062232, 
45, 0.056249, 
46, 0.051236, 
47, 0.046977, 
