Epoch Number, Total Squared Error, 
0, 5.218230, 
1, 4.690909, 
2, 4.694273, 
3, 4.580553, 
4, 4.662171, 
5, 4.663667, 
6, 4.551913, 
7, 4.542413, 
8, 4.565128, 
9, 4.606828, 
10, 4.598110, 
11, 4.568771, 
12, 4.566481, 
13, 4.581066, 
14, 4.591800, 
15, 4.584249, 
16, 4.574163, 
17, 4.573638, 
18, 4.575944, 
19, 4.568309, 
20, 4.543109, 
21, 4.494802, 
22, 4.401415, 
23, 4.212586, 
24, 3.848630, 
25, 3.216141, 
26, 2.259782, 
27, 1.191200, 
28, 0.512061, 
29, 0.215792, 
30, 0.099887, 
31, 0.053905, 
32, 0.033934, 
