Epoch Number, Total Squared Error, 
0, 4.658277, 
1, 4.626882, 
2, 4.593294, 
3, 4.544303, 
4, 4.516668, 
5, 4.513719, 
6, 4.518986, 
7, 4.520299, 
8, 4.515826, 
9, 4.516207, 
10, 4.523882, 
11, 4.533236, 
12, 4.539059, 
13, 4.540543, 
14, 4.540948, 
15, 4.542700, 
16, 4.545587, 
17, 4.548271, 
18, 4.550187, 
19, 4.552199, 
20, 4.555364, 
21, 4.559793, 
22, 4.564823, 
23, 4.569913, 
24, 4.575059, 
25, 4.580211, 
26, 4.584425, 
27, 4.585393, 
28, 4.578989, 
29, 4.557780, 
30, 4.507766, 
31, 4.403479, 
32, 4.204394, 
33, 3.863436, 
34, 3.355149, 
35, 2.673552, 
36, 1.846590, 
37, 1.048632, 
38, 0.537149, 
39, 0.289934, 
40, 0.163807, 
41, 0.102129, 
42, 0.071137, 
43, 0.054169, 
44, 0.044085, 
