Epoch Number, Total Squared Error, 
0, 4.783339, 
1, 4.605483, 
2, 4.602819, 
3, 4.614464, 
4, 4.625757, 
5, 4.564972, 
6, 4.498049, 
7, 4.474318, 
8, 4.446098, 
9, 4.362255, 
10, 4.193201, 
11, 3.968299, 
12, 3.723131, 
13, 3.479894, 
14, 3.244724, 
15, 3.001427, 
16, 2.666414, 
17, 2.143399, 
18, 1.503972, 
19, 0.955915, 
20, 0.621936, 
21, 0.426303, 
22, 0.300503, 
23, 0.216747, 
24, 0.161185, 
25, 0.124123, 
26, 0.098868, 
27, 0.081173, 
28, 0.068410, 
29, 0.058936, 
30, 0.051703, 
31, 0.046033, 
