Epoch Number, Total Squared Error, 
0, 4.718640, 
1, 4.545405, 
2, 4.529808, 
3, 4.521959, 
4, 4.542153, 
5, 4.518431, 
6, 4.476932, 
7, 4.475784, 
8, 4.491986, 
9, 4.506600, 
10, 4.503881, 
11, 4.494623, 
12, 4.494916, 
13, 4.502040, 
14, 4.507951, 
15, 4.508215, 
16, 4.506505, 
17, 4.508152, 
18, 4.513035, 
19, 4.517873, 
20, 4.520539, 
21, 4.521796, 
22, 4.523103, 
23, 4.524152, 
24, 4.523292, 
25, 4.519130, 
26, 4.510962, 
27, 4.497481, 
28, 4.475097, 
29, 4.436863, 
30, 4.371563, 
31, 4.263265, 
32, 4.095536, 
33, 3.867261, 
34, 3.610976, 
35, 3.374400, 
36, 3.164779, 
37, 2.915514, 
38, 2.484921, 
39, 1.790677, 
40, 1.068060, 
41, 0.587849, 
42, 0.335300, 
43, 0.204193, 
44, 0.133829, 
45, 0.094429, 
46, 0.071294, 
47, 0.057010, 
48, 0.047726, 
