Epoch Number, Total Squared Error, 
0, 4.651363, 
1, 4.627319, 
2, 4.604208, 
3, 4.577328, 
4, 4.552437, 
5, 4.543825, 
6, 4.548614, 
7, 4.555405, 
8, 4.557635, 
9, 4.558584, 
10, 4.562015, 
11, 4.566178, 
12, 4.567766, 
13, 4.566442, 
14, 4.564483, 
15, 4.563220, 
16, 4.561948, 
17, 4.559672, 
18, 4.556378, 
19, 4.552221, 
20, 4.545885, 
21, 4.533731, 
22, 4.509361, 
23, 4.462033, 
24, 4.373234, 
25, 4.213416, 
26, 3.946551, 
27, 3.550593, 
28, 3.026322, 
29, 2.353437, 
30, 1.530209, 
31, 0.814128, 
32, 0.399609, 
33, 0.202946, 
34, 0.114956, 
35, 0.073532, 
36, 0.052147, 
37, 0.040059, 
