Epoch Number, Total Squared Error, 
0, 4.632131, 
1, 4.602502, 
2, 4.581889, 
3, 4.545924, 
4, 4.512422, 
5, 4.506336, 
6, 4.520191, 
7, 4.538008, 
8, 4.545626, 
9, 4.547625, 
10, 4.552243, 
11, 4.558121, 
12, 4.557181, 
13, 4.540486, 
14, 4.500210, 
15, 4.421645, 
16, 4.277835, 
17, 4.040215, 
18, 3.709322, 
19, 3.339382, 
20, 2.992817, 
21, 2.659217, 
22, 2.241979, 
23, 1.625652, 
24, 0.951683, 
25, 0.590254, 
26, 0.416075, 
27, 0.267146, 
28, 0.167340, 
29, 0.114528, 
30, 0.086488, 
31, 0.069934, 
32, 0.059105, 
33, 0.051503, 
34, 0.045920, 
